fullName,url,stars,forks,pushed,language,license_key,license,license_class,reuse_terms,archived,description,project_area
oobabooga/textgen,https://github.com/oobabooga/textgen,47633,5984,2026-08-17,Python,agpl-3.0,GNU Affero General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"Open-source desktop app for local LLMs. Text, vision, tool-calling, OpenAI/Anthropic-compatible API. 100% private.",ERA-AI
leon-ai/leon,https://github.com/leon-ai/leon,17492,1469,2026-09-06,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,🧠 Leon is your open-source personal assistant.,ERA-AI
mainframecomputer/fullmoon-ios,https://github.com/mainframecomputer/fullmoon-ios,2264,219,2025-05-05,Swift,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,chat with private and local large language models,ERA-AI
deer-flow/llm-space,https://github.com/deer-flow/llm-space,1811,197,2026-09-06,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"A desktop app to prototype agent ideas, inspect every harness step, replay failures, and evaluate performance, all in one place. Local-first, cloud-ready for managed agents.",ERA-AI
isair/jarvis,https://github.com/isair/jarvis,1714,332,2026-08-25,Python,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"A 100% private AI voice assistant that lives on your computer (works offline). Talk naturally as if Jarvis is a third person in the room, and get conversational responses. It remembers everything, knows location and time, can check the web, control Chrome, track nutrition, and more with support for unlimited MCPs / tools without context rot.",ERA-AI
jofizcd/Soul-of-Waifu,https://github.com/jofizcd/Soul-of-Waifu,1292,65,2026-08-28,Python,gpl-3.0,GNU General Public License v3.0,copyleft,fork/modify OK; redistributing a derivative obliges same-license release of your changes,False,"🌌 Give a soul to your favorite characters. Soul of Waifu is a desktop roleplay & AI companion app featuring Live2D/VRM avatars, voice chat & local LLM. Evolve together across immersive chat, RPG adventures, and your desktop.",ERA-AI
HelgeSverre/ollama-gui,https://github.com/HelgeSverre/ollama-gui,1257,159,2026-08-06,Vue,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,A Web Interface for chatting with your local LLMs via the ollama API,ERA-AI
xark-argo/argo,https://github.com/xark-argo/argo,823,80,2026-01-06,Python,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"ARGO is an open-source AI Agent platform that brings Local Manus to your desktop. With one-click model downloads, seamless closed LLM integration, and offline-first RAG knowledge bases, ARGO becomes a DeepResearch powerhouse for autonomous thinking, task planning, and 100% of your data stays locally. Support Win/Mac/Docker.",ERA-AI
MindWorkAI/AI-Studio,https://github.com/MindWorkAI/AI-Studio,564,57,2026-09-05,C#,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"MindWork AI Studio is a free, independent cross-platform desktop app for local and cloud LLMs across providers, built to democratize AI access.",ERA-AI
ibrahimqureshae/mdflux,https://github.com/ibrahimqureshae/mdflux,419,29,2026-08-31,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Turn any document into clean, AI-ready Markdown. Local-first desktop app: reads scanned PDFs, batches folders, runs offline, and uses far fewer tokens than vision models.",ERA-AI
PM-Shawn/Abu-Cowork,https://github.com/PM-Shawn/Abu-Cowork,367,83,2026-09-06,TypeScript,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,Open-source alternative to Claude Cowork — a local-first AI agent desktop app · multi-model · self-evolving skills · privacy-first · multi-Harness roadmap · DeepSeek Harness integration in progress,ERA-AI
llt22/talkio,https://github.com/llt22/talkio,329,37,2026-09-03,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Local-first multi-AI group chat desktop app — pull gpt, Claude, Gemini, DeepSeek into one conversation. Tauri 2 + React 19.",ERA-AI
AbhishekBarali/SpeakoFlow,https://github.com/AbhishekBarali/SpeakoFlow,228,24,2026-09-06,Rust,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Free, open-source offline voice dictation for Windows, macOS, and Linux. A Wispr Flow alternative with an AI assistant that can read your screen on request and answer questions.",ERA-AI
AashishH15/Lexicon,https://github.com/AashishH15/Lexicon,199,19,2026-09-03,JavaScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"The free open source offline writing assistant assist with grammar, rewriting & tone entirely on your machine.",ERA-AI
LoadShine/tada,https://github.com/LoadShine/tada,190,15,2026-05-30,TypeScript,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"An offline-first to-do app featuring a configurable AI assistant, calendar view, and a powerful Markdown editor.",ERA-AI
Bitshank-2338/clicky-windows,https://github.com/Bitshank-2338/clicky-windows,187,38,2026-09-05,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Free offline AI assistant for Windows — reads your screen, hears your question, speaks the answer. No API key, runs locally with Ollama.",ERA-AI
JM-Lab/spring-ai-playground,https://github.com/JM-Lab/spring-ai-playground,185,34,2026-08-20,Java,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Safe local execution layer for AI agent tools. Build, validate, and publish MCP tools with a no-pass-no-run workflow — cross-platform desktop app powered by Spring AI.",ERA-AI
Mcourtyard/m-courtyard,https://github.com/Mcourtyard/m-courtyard,168,14,2026-07-11,TypeScript,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"M-Courtyard: Local AI Model Fine-tuning Assistant for Apple Silicon. Zero-code, zero-cloud, privacy-first desktop app powered by Tauri + React + mlx-lm.",ERA-AI
1runeberg/confichat,https://github.com/1runeberg/confichat,161,12,2025-04-26,Dart,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Lightweight, standalone, multi-platform, and privacy focused local LLM chat interface with optional encryption",ERA-AI
BjornMelin/docmind-ai-llm,https://github.com/BjornMelin/docmind-ai-llm,151,29,2026-08-19,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"DocMind AI is a powerful, open-source Streamlit application leveraging LlamaIndex, LangGraph, and local Large Language Models (LLMs) via Ollama, LMStudio, llama.cpp, or vLLM for advanced document analysis. Analyze, summarize, and extract insights from a wide array of file formats, securely and privately, all offline.",ERA-AI
Quiet-Signals-Lab/RAG-Assistant-for-Zotero,https://github.com/Quiet-Signals-Lab/RAG-Assistant-for-Zotero,146,9,2026-09-03,Python,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"An open‑source desktop RAG application that enables semantic search across your Zotero library. Easily discover conceptually related papers and ideas within your PDF collection using local or cloud‑based LLMs. The app provides source attribution, metadata filtering, and seamless integration with Zotero. macOS, Linux, Windows.",ERA-AI
Likhithsai2580/JARVIS,https://github.com/Likhithsai2580/JARVIS,146,64,2026-07-30,Python,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,Project Jarvis is a versatile AI assistant that integrates various functionalities.,ERA-AI
VkRainB/ccMesh,https://github.com/VkRainB/ccMesh,120,10,2026-09-02,Rust,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Claude Code / Codex local AI proxy gateway desktop app (Tauri). Anthropic Messages <-> OpenAI-compatible protocol transform, model mapping, endpoint rotation/failover. 本地桌面代理网关：协议转换、模型映射、多端点轮换/熔断，对接官方 API 或中转站，不改客户端。Windows/macOS/Linux.",ERA-AI
oxide-lab/Oxide-Lab,https://github.com/oxide-lab/Oxide-Lab,117,6,2026-08-12,Rust,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Modern desktop application (Rust + Tauri v2 + Svelte 5 + Candle (HF)) for communicating with AI models that runs completely locally on your computer. No subscriptions, no data sent to the internet — just you and your personal AI assistant",ERA-AI
sensy-one/AirDot,https://github.com/sensy-one/AirDot,104,11,2026-09-03,C++,other,Other,other,license present but non-standard — read the LICENSE before reuse,False,"Welcome to the official GitHub repository for the Sensy-One AirDot, a smart indoor air-quality display that works standalone, offline, or connected to Home Assistant. Here you’ll find detailed specs, setup instructions, firmware update guidance, and everything you need to get the most out of your AirDot.",ERA-AI
Natxo09/Eris.,https://github.com/Natxo09/Eris.,99,17,2026-06-23,Swift,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"Eris is a private AI chat application that runs entirely on your device using Apple's MLX framework. Named after the dwarf planet that challenged our understanding of the solar system, Eris challenges the notion that AI must live in the cloud.",ERA-AI
Helldez/HearoPilot-App,https://github.com/Helldez/HearoPilot-App,96,32,2026-06-10,Kotlin,apache-2.0,Apache License 2.0,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"On-device AI meeting assistant — real-time transcription & LLM insights, 100% offline",ERA-AI
PriNova/graphone,https://github.com/PriNova/graphone,90,6,2026-06-23,TypeScript,mit,MIT License,permissive,"modify, redistribute, fork, incorporate — keep LICENSE + copyright notice (Apache also NOTICE)",False,"A visual workbench for coding agent orchestration for Windows, Linux & macOS. Chat interface for local & remote LLMs. Built with Tauri 2.x and Svelte 5.",ERA-AI
